INCIDENT_KEY,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
11118846,990611.875000000000000,188299.203125000000000,40.683520509000100,-73.977063313000000,POINT (-73.97706331299997 40.68352050900006)
174579538,962950.687500000000000,172726.906250000000000,40.640754660000000,-74.076748213000000,POINT (-74.07674821299997 40.64075466000003)
94046068,1020978.750000000000000,181163.281250000000000,40.663860112000100,-73.867612659000000,POINT (-73.86761265899997 40.663860112000066)
80165538,998754.500000000000000,194329.921875000000000,40.700063843000100,-73.947691600000000,POINT (-73.94769159999998 40.700063843000066)
86437257,1009904.750000000000000,180751.468750000000000,40.66276879000000,-73.907530424999900,POINT (-73.90753042499995 40.66276879000003)
33635440,1015368.500000000000000,185468.500000000000000,40.67569846300010,-73.887814907999900,POINT (-73.88781490799994 40.67569846300006)
235757726,1000382,192387,40.69472815800000,-73.94182674699990,POINT (-73.94182674699994 40.69472815800003)
233762539,998288,227463,40.79100658600000,-73.94930486000000,POINT (-73.94930485999998 40.79100658600004)
158566071,1007915.375000000000000,183324.453125000000000,40.669836599000100,-73.914691972000000,POINT (-73.91469197199996 40.66983659900007)
166268793,1008949.812500000000000,180854.562500000000000,40.663054475000100,-73.910972059999900,POINT (-73.91097205999995 40.66305447500008)
24659051,1013850.937500000000000,185935.734375000000000,40.676986120000000,-73.893283875999900,POINT (-73.89328387599996 40.67698612000004)
226500707,1013711,178670,40.65704377400010,-73.89382012899990,POINT (-73.89382012899993 40.65704377400005)
66629764,1006294.312500000000000,252943.781250000000000,40.86092771400010,-73.920307299999900,POINT (-73.92030729999993 40.86092771400007)
