INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME
139506239,11/04/2014,18:26:00
183190791,05/27/2018,03:37:00
54324348,11/21/2008,23:23:00
141546978,03/21/2015,23:15:00
93618069,11/16/2013,20:00:00
144764391,07/23/2015,21:07:00
140697084,01/24/2015,05:40:00
75760197,11/29/2010,11:59:00
76656082,12/31/2010,05:52:00
10454361,02/15/2006,00:42:00
47812335,06/28/2008,03:34:00
60076502,03/27/2009,00:16:00
92152091,08/15/2013,19:14:00
32723805,06/23/2007,22:08:00
213550053,05/26/2020,15:51:00
24687026,10/07/2006,21:50:00
178740662,04/29/2018,15:44:00
150102331,02/04/2016,20:03:00
222932692,01/11/2021,23:49:00
35890100,11/23/2007,21:09:00
62599780,06/08/2009,23:30:00
163255150,03/29/2017,03:49:00
231369853,07/26/2021,09:45:00
79898821,07/20/2011,20:18:00
222524733,01/01/2021,00:16:00
171254027,11/03/2017,16:12:00
59801053,03/22/2009,01:57:00
55237635,12/28/2008,03:55:00
73325410,06/21/2010,23:39:00
170264299,10/10/2017,17:32:00
25207006,11/08/2006,21:32:00
55195357,12/26/2008,22:13:00
24516762,09/26/2006,14:38:00
185390947,07/19/2018,01:38:00
136933089,05/26/2014,01:20:00
212170023,04/19/2020,08:50:00
80991313,10/01/2011,22:28:00
64556898,08/08/2009,05:04:00
229822334,06/19/2021,22:05:00
64880432,08/19/2009,00:21:00
16814035,06/18/2006,19:43:00
85518943,06/30/2012,22:30:00
24050481,08/27/2006,03:15:00
159451964,12/17/2016,18:05:00
32835041,07/01/2007,23:35:00
63796439,07/17/2009,00:08:00
203676928,10/12/2019,06:55:00
171292987,11/06/2017,19:30:00
197293452,05/16/2019,22:01:00
150501481,02/18/2016,21:08:00
37674591,01/13/2008,22:36:00
71432863,02/21/2010,04:38:00
171126115,11/01/2017,18:34:00
74867440,10/01/2010,22:15:00
87443958,10/27/2012,07:15:00
86870747,09/22/2012,02:40:00
79675375,07/06/2011,18:50:00
11118840,04/16/2006,04:30:00
230448650,07/04/2021,18:20:00
169602972,09/21/2017,21:28:00
232444798,08/18/2021,22:55:00
71644359,03/06/2010,22:55:00
189311503,10/26/2018,20:41:00
52214155,10/15/2008,19:13:00
52582193,10/27/2008,00:00:00
156435424,09/05/2016,03:49:00
214693797,06/27/2020,03:45:00
183308090,05/30/2018,23:45:00
214312557,06/17/2020,00:33:00
146650545,10/04/2015,01:00:00
54035522,11/13/2008,21:22:00
84562976,05/05/2012,05:22:00
24236345,09/09/2006,05:26:00
73574805,07/07/2010,22:25:00
220848246,11/21/2020,21:31:00
33196046,07/20/2007,04:36:00
236325237,11/15/2021,20:15:00
24717012,10/09/2006,14:50:00
234208838,09/28/2021,22:59:00
232390407,08/17/2021,13:00:00
235423767,10/23/2021,23:54:00
159358450,12/14/2016,19:50:00
221341078,12/03/2020,21:36:00
140782575,02/01/2015,06:33:00
86520724,08/30/2012,20:14:00
163875943,04/17/2017,16:40:00
92152095,08/15/2013,23:55:00
81930479,11/29/2011,00:24:00
80164220,08/06/2011,00:34:00
144358519,07/09/2015,05:25:00
92606072,09/14/2013,14:34:00
220463385,11/12/2020,23:03:00
184749632,07/03/2018,23:23:00
94730842,02/01/2014,22:45:00
63874443,07/19/2009,22:59:00
161311804,01/28/2017,03:59:00
223240541,01/18/2021,20:39:00
90905822,05/30/2013,18:14:00
92403280,08/31/2013,02:30:00
48006244,07/06/2008,01:04:00
35803777,11/18/2007,01:00:00
28926748,05/09/2007,18:11:00
56422558,02/08/2009,01:30:00
156456020,09/06/2016,01:28:00
157093740,09/27/2016,09:35:00
138027507,08/03/2014,10:25:00
199900180,07/17/2019,16:38:00
84253459,04/17/2012,03:30:00
51724136,09/28/2008,04:42:00
200263247,07/25/2019,02:17:00
95301720,03/10/2014,22:29:00
233307769,09/08/2021,23:48:00
64389960,08/04/2009,00:30:00
163466156,04/04/2017,16:45:00
46004456,04/25/2008,20:30:00
214312113,06/17/2020,19:35:00
236168668,11/11/2021,15:04:00
75644675,11/20/2010,03:57:00
138256210,08/16/2014,16:26:00
174946402,02/17/2018,17:53:00
33943268,08/23/2007,02:15:00
146938464,10/14/2015,23:40:00
155509200,08/04/2016,18:50:00
34562748,09/22/2007,18:24:00
219975240,10/31/2020,13:16:00
78032101,04/01/2011,22:03:00
84021527,04/03/2012,16:30:00
156502310,09/07/2016,14:01:00
24930766,10/20/2006,07:46:00
146877501,10/12/2015,04:03:00
168780018,09/04/2017,19:29:00
24347269,09/16/2006,03:21:00
83002393,02/04/2012,17:44:00
232291476,08/13/2021,16:10:00
165613954,06/08/2017,01:08:00
66768828,10/13/2009,19:15:00
51893518,10/04/2008,03:21:00
80341321,08/17/2011,20:55:00
28224891,03/31/2007,01:25:00
71633350,03/07/2010,04:02:00
152950869,05/11/2016,02:00:00
60217265,04/02/2009,10:25:00
172026679,11/27/2017,18:00:00
172795957,12/20/2017,00:04:00
93074940,10/14/2013,00:39:00
69526319,01/03/2010,18:10:00
46998148,06/04/2008,01:38:00
219293219,10/03/2020,13:07:00
164236470,04/28/2017,04:48:00
217256576,08/31/2020,20:45:00
146354797,09/22/2015,21:34:00
141108958,02/23/2015,23:40:00
186606595,08/18/2018,12:00:00
88354617,12/31/2012,23:02:00
10411002,02/08/2006,21:00:00
217593703,09/08/2020,16:40:00
74363834,08/28/2010,23:05:00
220553700,11/13/2020,16:20:00
142472725,04/27/2015,20:27:00
227344210,04/24/2021,21:00:00
25257126,11/11/2006,14:56:00
86874692,09/22/2012,02:16:00
140643796,01/21/2015,22:47:00
72155702,04/11/2010,04:08:00
206875589,12/30/2019,03:17:00
215302971,07/14/2020,20:58:00
32821783,06/30/2007,20:10:00
164301445,04/29/2017,04:56:00
232299784,08/16/2021,00:26:00
65197401,08/28/2009,13:20:00
69248521,12/26/2009,01:53:00
80079050,08/01/2011,02:10:00
32155727,06/09/2007,00:05:00
201613990,08/26/2019,21:20:00
55256123,12/26/2008,04:45:00
73563365,07/07/2010,16:38:00
208733991,01/29/2020,20:30:00
74925351,10/05/2010,16:04:00
23354110,07/07/2006,11:32:00
25625019,12/05/2006,09:13:00
25055208,10/31/2006,01:24:00
224079783,02/06/2021,19:30:00
