INCIDENT_KEY,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE
86562685,BROOKLYN,,71,0,,,FALSE,,,,18-24,F,BLACK
23904203,QUEENS,,113,0,,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,BLACK
144448393,BRONX,,43,0,,,FALSE,,,,18-24,F,BLACK
142610707,BROOKLYN,,90,2,,MULTI DWELL - PUBLIC HOUS,FALSE,<18,M,BLACK,18-24,M,BLACK
218392075,MANHATTAN,,32,0,,,FALSE,<18,M,BLACK,<18,M,BLACK
77905142,QUEENS,,114,2,,MULTI DWELL - PUBLIC HOUS,TRUE,18-24,F,BLACK,25-44,M,BLACK
75538563,QUEENS,,103,0,,RESTAURANT/DINER,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
88442130,MANHATTAN,,32,0,,,FALSE,18-24,M,BLACK,<18,M,BLACK
74417897,MANHATTAN,,5,0,,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,25-44,M,BLACK
49255304,BRONX,,46,0,,,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK
187157834,BROOKLYN,,71,0,,,FALSE,18-24,M,BLACK,18-24,M,BLACK
88054604,MANHATTAN,,18,0,,,TRUE,,,,25-44,M,BLACK
214439582,BROOKLYN,,88,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK
69794647,BRONX,,46,0,,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,<18,M,BLACK HISPANIC
109450710,BROOKLYN,,73,2,,MULTI DWELL - PUBLIC HOUS,TRUE,,,,18-24,M,BLACK
146462814,BRONX,,42,0,,,FALSE,18-24,M,BLACK,18-24,M,BLACK
90584644,BROOKLYN,,73,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK
159082084,MANHATTAN,,25,0,,,FALSE,25-44,M,BLACK,18-24,M,WHITE HISPANIC
89562422,BRONX,,50,0,,FAST FOOD,FALSE,18-24,M,WHITE HISPANIC,18-24,M,BLACK
74664417,BRONX,,42,2,,MULTI DWELL - PUBLIC HOUS,FALSE,45-64,M,BLACK,25-44,M,BLACK
80064773,BROOKLYN,,60,0,,,TRUE,,,,25-44,M,BLACK
138027217,MANHATTAN,,32,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK
59039103,BRONX,,44,0,,,TRUE,18-24,M,WHITE HISPANIC,<18,M,BLACK HISPANIC
218567381,QUEENS,,115,0,,MULTI DWELL - APT BUILD,TRUE,25-44,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC
78578419,BRONX,,46,0,,,TRUE,18-24,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC
141709935,MANHATTAN,,30,0,,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,45-64,M,BLACK
153615012,MANHATTAN,,32,0,,,FALSE,25-44,M,BLACK,18-24,M,BLACK
84189250,BROOKLYN,,73,0,,GROCERY/BODEGA,FALSE,,,,18-24,M,BLACK
50718297,BROOKLYN,,79,0,,,TRUE,,,,25-44,M,BLACK
145192983,BROOKLYN,,60,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK HISPANIC
221765165,BROOKLYN,,75,0,,,FALSE,,,,25-44,M,BLACK
161953596,BRONX,,42,0,,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,BLACK
136825216,BRONX,,42,0,,,FALSE,,,,18-24,M,BLACK
