INCIDENT_KEY,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
49834896,1013768.1875,236671.53125,40.816243315000094,-73.8933595349999
10804594,1041708.75,196834.9375,40.706764855000095,-73.792757959
226654026,986568.0,214237.0,40.7547155130001,-73.991634825
204458419,1025537.8125,259944.46875,40.880073413,-73.8506955519999
140435608,1008331.3125,189878.453125,40.687824718000094,-73.913169174
61170259,1003616.5625,179560.71875,40.659516431,-73.93019923
236325239,998344.0,180070.0,40.6609242580001,-73.949201871
215767017,996824.375,182756.40625,40.668300135,-73.954674105
85875439,1011046.6875,239814.234375,40.82487781900009,-73.903179084
79896470,1009166.5625,184322.90625,40.672573696,-73.910177977
174579221,1008788.9375,177637.09375,40.65422368,-73.9115636339999
80605485,1039007.75,192247.015625,40.694189239,-73.802537252
190170259,1023326.0,266681.0,40.8985731170001,-73.858654636
